Electrode,rawTimeSeries-NoLineNoise,bpThetaTimeSeries,bpGammaTimeSeries,thetaAngle,thetaPower,gammaAngle,gammaPower,Time
mL_AH1,1.577006222,-2.675251741,-0.601608647,-1.915368149,62.72291362,2.138083699,1.253486356,0.001
mL_AH1,-0.26082262,-2.301280144,-0.913593633,-1.866799353,62.23975929,2.451660685,1.403044662,0.002
mL_AH1,-2.324104512,-1.926862576,-1.159411441,-1.818543262,61.74312498,2.757295516,1.564074531,0.003
mL_AH1,1.895510101,-1.553221984,-1.311988039,-1.770620377,61.2293521,3.056024883,1.73397757,0.004
mL_AH1,-5.986718538,-1.181526379,-1.352428087,-1.723029013,60.70556603,-2.934365074,1.909912272,0.005
mL_AH1,-4.732818899,-0.81288286,-1.271891644,-1.675785086,60.16814201,-2.646696664,2.088896902,0.006
mL_AH1,-0.915683839,-0.448332294,-1.072542473,-1.628890493,59.62434636,-2.363429771,2.267878387,0.007
mL_AH1,-1.710422157,-0.08884468,-0.767474624,-1.58235626,59.07062145,-2.083983073,2.443672173,0.008
mL_AH1,1.784530431,0.264684744,-0.379620718,-1.536187681,58.51429981,-1.807845144,2.613209124,0.009
mL_AH1,4.506979622,0.611438651,0.060257807,-1.49039059,57.9519191,-1.5346047,2.773320433,0.01
mL_AH1,4.53202255,0.95067998,0.516310844,-1.444973421,57.39080531,-1.263911654,2.921116275,0.011
mL_AH1,4.080151582,1.281753511,0.950813058,-1.399936513,56.8276141,-0.995473458,3.053681273,0.012
mL_AH1,7.379533836,1.604086636,1.327548915,-1.355291121,56.26959487,-0.729056207,3.168489552,0.013
mL_AH1,7.039742899,1.917189335,1.615052033,-1.311031791,55.71353828,-0.464450233,3.263111962,0.014
mL_AH1,5.821623227,2.220653363,1.789396622,-1.267172225,55.16655075,-0.201504092,3.335553564,0.015
mL_AH1,6.050483886,2.514150677,1.836282774,-1.2237009,54.62556939,0.05993102,3.384074552,0.016
mL_AH1,6.588886372,2.797431125,1.752225972,-1.180633547,54.09749572,0.319947974,3.407355003,0.017
mL_AH1,4.385393757,3.07031943,1.544747636,-1.137952329,53.57941993,0.578646609,3.404496801,0.018
mL_AH1,-0.452503199,3.33271152,1.231559211,-1.095674566,53.07798179,0.836077073,3.374970396,0.019
mL_AH1,-0.853175094,3.58457026,0.83882801,-1.053775918,52.59042718,1.092294944,3.318807329,0.02
mL_AH1,-0.648411229,3.825920624,0.398699277,-1.012274852,52.12308309,1.347316187,3.236347492,0.021
mL_AH1,-3.432483878,4.056844401,-0.053682435,-0.971140406,51.67335061,1.601151021,3.128571442,0.022
mL_AH1,-5.74268055,4.277474474,-0.483365076,-0.930391777,51.24719916,1.8537817,2.996722539,0.023
mL_AH1,-5.305224202,4.487988757,-0.858690351,-0.889991362,50.84218238,2.105165443,2.842685855,0.024
mL_AH1,-2.521334862,4.68860387,-1.154013838,-0.849958724,50.46387359,2.355240219,2.668588989,0.025
mL_AH1,-6.853915568,4.879568601,-1.351794302,-0.810249712,50.10997512,2.603891677,2.477123869,0.026
mL_AH1,-4.368424305,5.06115726,-1.443866868,-0.770883967,49.78563171,2.850984084,2.271224753,0.027
mL_AH1,-2.979835654,5.233662966,-1.431795895,-0.73181103,49.48868991,3.096289558,2.054252689,0.028
mL_AH1,-4.008253299,5.397390965,-1.326293379,-0.69305043,49.22383886,-2.943655243,1.829813404,0.029
mL_AH1,-0.929814818,5.552652025,-1.145778714,-0.654545795,48.98906495,-2.70292079,1.601771492,0.03
mL_AH1,1.981734573,5.699755992,-0.914237006,-0.616316476,48.78857945,-2.465278931,1.374219429,0.031
mL_AH1,3.016498939,5.839005553,-0.658598239,-0.578300745,48.62050466,-2.231646276,1.151341677,0.032
mL_AH1,2.703416597,5.970690277,-0.405902297,-0.540517836,48.48855572,-2.003376205,0.937498462,0.033
mL_AH1,1.526750187,6.095080979,-0.180531622,-0.502901391,48.39098785,-1.782668417,0.736999647,0.034
mL_AH1,-2.036995723,6.212424473,-0.001782737,-0.465470711,48.33100492,-1.573190959,0.554239809,0.035
mL_AH1,-3.378456207,6.322938741,0.117988402,-0.428155687,48.30699355,-1.381567659,0.393454611,0.036
mL_AH1,-2.413925748,6.426808583,0.174470345,-0.390975985,48.32163383,-1.220765114,0.258844866,0.037
mL_AH1,-4.242406007,6.524181769,0.171646657,-0.353858743,48.37344424,-1.118681546,0.154372033,0.038
mL_AH1,-3.210075895,6.615165746,0.121173261,-0.316824369,48.46457084,-1.139004679,0.083835008,0.039
mL_AH1,-5.252672273,6.699824907,0.040947054,-0.279798327,48.59366695,-1.387973172,0.050725576,0.04
mL_AH1,-6.25644619,6.77817846,-0.04699219,-0.242802182,48.76233626,-1.766736581,0.05825981,0.041
mL_AH1,-4.261540467,6.850198902,-0.119020462,-0.205760832,48.96937282,-1.939115819,0.10927533,0.042
mL_AH1,0.447019203,6.91581112,-0.152697671,-0.168697399,49.21583116,-1.913704944,0.206251737,0.043
mL_AH1,2.184629379,6.9748921,-0.12947239,-0.131537288,49.50065487,-1.791044751,0.351206507,0.044
mL_AH1,5.488095322,7.027271262,-0.037053404,-0.094305525,49.82434373,-1.620974311,0.545750733,0.045
mL_AH1,8.584807777,7.072731399,0.128794133,-0.056929018,50.18600227,-1.425466798,0.79094105,0.046
mL_AH1,5.651400037,7.111010202,0.363220315,-0.019434932,50.5855707,-1.215020939,1.087402108,0.047
mL_AH1,7.544848716,7.141802365,0.652154546,0.018247445,51.022328,-0.995140024,1.435119458,0.048
mL_AH1,0.336924033,7.164762229,0.973106639,0.056088692,51.49565028,-0.768966174,1.833623735,0.049
mL_AH1,-0.405935791,7.179506958,1.296863804,0.094156408,52.00500601,-0.538383006,2.281753726,0.05
mL_AH1,-9.008151514,7.185620205,1.589958077,0.132418942,52.54920308,-0.304617266,2.777853666,0.051
mL_AH1,-5.447554328,7.182656246,1.817703143,0.170940197,53.12791557,-0.06845989,3.319578481,0.052
