Electrode,Time,rawTimeSeries-NoLineNoise,bpThetaTimeSeries,bpGammaTimeSeries,thetaAngle,thetaPower,gammaAngle,gammaPower,BinEdgesThetaAngle,AveGammaPower,SpectrogramTime,SpectrogramFreq,SpectrogramPower
mL_AH1,0.001,-15.760,-3.280,-0.498,1.739,386.143,1.861,3.028,0.025,10.160,1.000,0.000,5971.579
mL_AH1,0.002,-14.264,-3.422,-0.958,1.878,127.830,2.096,3.656,0.088,10.074,1.000,0.488,3907.374
mL_AH1,0.003,-15.139,-3.551,-1.335,1.886,131.370,2.375,3.437,0.151,10.133,1.000,0.977,3479.490
mL_AH1,0.004,-17.386,-3.667,-1.602,1.998,78.471,2.616,3.428,0.215,10.469,1.000,1.465,3934.685
mL_AH1,0.005,-16.568,-3.770,-1.742,2.005,80.245,2.893,3.229,0.278,10.383,1.000,1.953,2502.973
mL_AH1,0.006,-18.863,-3.858,-1.750,2.112,56.003,-3.142,3.062,0.341,10.295,1.000,2.441,4616.389
mL_AH1,0.007,-14.420,-3.931,-1.631,2.119,56.856,-2.864,2.876,0.405,10.521,1.000,2.930,1790.076
mL_AH1,0.008,-19.163,-3.989,-1.401,2.226,42.828,-2.608,2.648,0.468,10.492,1.000,3.418,1227.002
mL_AH1,0.009,-16.952,-4.031,-1.085,2.232,43.103,-2.332,2.474,0.531,10.330,1.000,3.906,2689.125
mL_AH1,0.010,-15.577,-4.057,-0.712,2.340,34.028,-2.067,2.234,0.595,10.514,1.000,4.395,2781.921
mL_AH1,0.011,-20.258,-4.067,-0.316,2.344,33.910,-1.792,2.070,0.658,10.409,1.000,4.883,1368.909
mL_AH1,0.012,-16.247,-4.062,0.069,2.453,27.654,-1.520,1.843,0.721,10.105,1.000,5.371,2644.732
mL_AH1,0.013,-19.188,-4.040,0.412,2.456,27.259,-1.248,1.685,0.784,10.273,1.000,5.859,4646.016
mL_AH1,0.014,-12.765,-4.004,0.688,2.566,22.772,-0.970,1.483,0.848,10.239,1.000,6.348,3509.448
mL_AH1,0.015,-13.206,-3.952,0.881,2.567,22.180,-0.701,1.328,0.911,10.190,1.000,6.836,685.377
mL_AH1,0.016,-12.787,-3.886,0.981,2.678,18.878,-0.420,1.155,0.974,10.228,1.000,7.324,1735.451
mL_AH1,0.017,-11.014,-3.806,0.991,2.676,18.150,-0.153,1.005,1.038,9.954,1.000,7.813,1896.196
mL_AH1,0.018,-10.071,-3.714,0.919,2.787,15.677,0.128,0.858,1.101,9.847,1.000,8.301,2776.257
mL_AH1,0.019,-12.859,-3.609,0.782,2.782,14.863,0.393,0.717,1.164,10.155,1.000,8.789,1814.538
mL_AH1,0.020,-12.664,-3.494,0.603,2.894,12.986,0.673,0.594,1.228,9.972,1.000,9.277,245.834
mL_AH1,0.021,-17.096,-3.368,0.405,2.885,12.126,0.938,0.468,1.291,9.629,1.000,9.766,361.721
mL_AH1,0.022,-19.433,-3.235,0.212,2.996,10.689,1.213,0.367,1.354,9.610,1.000,10.254,260.085
mL_AH1,0.023,-16.452,-3.094,0.046,2.983,9.817,1.482,0.265,1.417,9.552,1.000,10.742,619.546
mL_AH1,0.024,-12.541,-2.947,-0.078,3.091,8.707,1.752,0.188,1.481,9.123,1.000,11.230,407.672
mL_AH1,0.025,-8.999,-2.796,-0.151,3.072,7.857,2.029,0.116,1.544,8.933,1.000,11.719,361.976
mL_AH1,0.026,-9.390,-2.643,-0.170,-3.105,6.993,2.294,0.066,1.607,8.761,1.000,12.207,1185.667
mL_AH1,0.027,-10.778,-2.488,-0.142,-3.133,6.191,2.598,0.027,1.671,8.371,1.000,12.695,1457.538
mL_AH1,0.028,-8.067,-2.334,-0.077,-3.031,5.515,2.879,0.006,1.734,8.267,1.000,13.184,1312.732
mL_AH1,0.029,-14.131,-2.182,0.008,-3.070,4.786,-0.963,0.000,1.797,8.389,1.000,13.672,486.324
mL_AH1,0.030,-9.360,-2.034,0.094,-2.975,4.256,0.130,0.009,1.861,8.434,1.000,14.160,877.560
mL_AH1,0.031,-7.468,-1.892,0.162,-3.030,3.625,0.406,0.031,1.924,8.277,1.000,14.648,987.464
mL_AH1,0.032,-7.638,-1.757,0.197,-2.945,3.210,0.708,0.067,1.987,8.249,1.000,15.137,707.394
mL_AH1,0.033,-6.775,-1.631,0.186,-3.023,2.697,0.978,0.111,2.050,8.106,1.000,15.625,1226.465
mL_AH1,0.034,-4.544,-1.515,0.125,-2.953,2.379,1.260,0.169,2.114,7.913,1.000,16.113,716.216
mL_AH1,0.035,-4.167,-1.411,0.016,-3.065,2.003,1.537,0.228,2.177,7.850,1.000,16.602,868.189
mL_AH1,0.036,-6.184,-1.321,-0.133,-3.015,1.772,1.815,0.299,2.240,7.753,1.000,17.090,1003.228
mL_AH1,0.037,-4.556,-1.245,-0.305,3.115,1.550,2.098,0.368,2.304,7.673,1.000,17.578,936.295
