AngleGroup,ThetaTheta,ThetaGamma,GammaTheta,GammaGamma
1,75.04365499,8.411964175,74.9503668,9.057177609
2,84.43068338,8.433348127,77.65412841,8.9646108
3,85.06142878,8.453424857,76.66994416,8.507740322
4,82.80386878,8.472003308,74.04195511,8.704842948
5,81.06816881,8.488918076,74.32174907,8.303568642
6,85.93213424,8.504033486,71.41098253,8.549519972
7,83.17656046,8.517240501,76.65682146,8.12771763
8,81.13851491,8.528460181,68.56838441,8.633401809
9,79.03128915,8.463689143,77.35124043,8.537812673
10,77.85732747,8.465174646,75.24899609,9.095829613
11,74.58184533,8.466880811,76.46282719,7.79382374
12,74.53516418,8.46879011,70.99854331,9.57396247
13,69.87606917,8.470883923,77.38961077,9.091970952
14,62.57609919,8.473142327,78.2931949,7.870129618
15,56.4053076,8.475544536,73.84547038,8.804203909
16,66.57646695,8.616376072,76.12522894,8.510445018
17,70.6670304,8.647723428,75.84391346,9.189239958
18,67.91189147,8.541174863,69.95614211,8.428737282
